屿	嶼
岁	歲
岂	豈
岖	嶇
岗	崗
岘	峴
岙	嶴
岚	嵐
岛	島
岜	岊
岭	嶺
岳	岳
岺	岭
岽	崠
岿	巋
峃	嶨
峄	嶧
峡	峽
峣	嶢
峤	嶠
峥	崢
峦	巒
峯	峰
崂	嶗
崃	崍
崄	嶮
崭	嶄
崾	要
嵘	嶸
嵚	嶔
嵛	崳
嵝	嶁
嵴	
巄	巃
巅	巔
巌	巖
巓	巔
巛	⼮
巩	鞏
巯	巰
币	幣
布	布
帅	帥
师	師
帏	幃
帐	帳
帘	簾
帜	幟
带	帶
帧	幀
席	席
帮	幫
帯	帶
帱	幬
帻	幘
帼	幗
幂	冪
幇	幫
幚	幫
幞	襆
干	幹
并	並
幷	并
幸	幸
幺	么
广	廣
庁	廳
広	麼
庄	莊
庅	麼
庆	慶
庐	廬
庑	廡
库	庫
应	應
庙	廟
庞	龐
废	廢
庼	廎
廏	廄
廐	廄
廪	廩
廴	⼵
廵	巡
开	開
异	異
弃	棄
弄	弄
弑	弒
张	張
弥	彌
弦	弦
弪	弳
弯	彎
弹	彈
强	強
彐	⼹
归	歸
当	當
录	錄
彚	彙
彛	羿
彜	羿
彝	彞
彟	獲
彠	獲
彡	⼺
彦	彥
彩	彩
彷	徬
彻	徹
径	徑
徇	徇
徕	徠
御	御
徸	德
忄	心
忆	憶
忏	懺
志	志
忧	憂
念	念
忾	愾
怀	懷
态	態
怂	慫
怃	憮
怄	慪
怅	悵
怆	愴
怜	憐
总	總
怼	懟
怿	懌
恋	戀
恒	恆
恤	恤
恳	懇
恶	惡
恸	慟
恹	懨
恺	愷
恻	惻
恼	惱
恽	惲
悦	悅
悫	愨
悬	懸
悭	慳
悯	憫
惊	驚
惧	懼
惨	慘
惩	懲
惫	憊
惬	愜
惭	慚
惮	憚
惯	慣
惽	惛
愈	愈
愠	慍
愤	憤
愦	憒
愿	願
慑	懾
慭	憖
憷	楚
懑	懣
懒	懶
懔	懍
懴	懺
戅	戇
戆	戇
戋	戔
戏	戲
戗	戧
战	戰
戚	戚
戝	敗
戦	戰
戬	戩
戯	戲
戱	戲
户	戶
戸	戶
扁	扁
扌	手
扎	扎
扑	撲
托	托
扣	扣
执	執
扩	擴
扪	捫
扫	掃
扬	揚
扰	擾
抅	拘
抚	撫
抛	拋
抟	摶
抠	摳
抡	掄
抢	搶
护	護
报	報
担	擔
拐	拐
拟	擬
拢	攏
拣	揀
拥	擁
拦	攔
拧	擰
拨	撥
择	擇
挂	挂
挚	摯
挛	攣
挜	掗
挝	撾
挞	撻
挟	挾
挠	撓
挡	擋
挢	撟
挣	掙
挤	擠
挥	揮
挦	撏
挽	挽
捂	捂
捞	撈
损	損
捡	撿
换	換
捣	搗
据	據
捻	捻
掏	掏
掳	擄
掴	摑
掷	擲
掸	撣
掺	摻
掼	摜
揸	喳
揽	攬
揿	撳
搀	攙
搁	擱
搂	摟
搃	摠
搅	攪
携	攜
摄	攝
摅	攄
摆	擺
摇	搖
摈	擯
摊	攤
撃	擊
撄	攖
撑	撐
撪	攆
撰	撰
撵	攆
撷	擷
撸	擼
撹	攪
撺	攛
擕	攜
擞	擻
擡	抬
擥	掔
擧	舉
擪	壓
攒	攢
攴	⽁
攵	又
敇	敕
效	效
敌	敵
敛	斂
敦	敦
敮	歃
数	數
斉	齊
斋	齋
斎	齋
斓	斕
斗	斗
斩	斬
断	斷
无	無
旧	舊
时	時
旷	曠
旸	暘
昂	昂
昆	昆
昙	曇
昵	暱
昼	晝
昽	曨
显	顯
晋	晉
晒	曬
晓	曉
晔	曄
晕	暈
晖	暉
暂	暫
暧	曖
札	札
术	術
朱	朱
朴	樸
机	機
杀	殺
杂	雜
权	權
杆	桿
条	條
来	來
杨	楊
杩	榪
杯	杯
杰	傑
松	松
板	板
极	極
构	構
枞	樅
枢	樞
枣	棗
枥	櫪
枧	見
枨	棖
枪	槍
枫	楓
枭	梟
柜	櫃
柠	檸
柽	檉
栀	梔
栅	柵
标	標
栈	棧
栉	櫛
栊	櫳
栋	棟
栌	櫨
栎	櫟
栏	欄
树	樹
栖	棲
栗	慄
样	樣
栾	欒
桊	棬
桠	椏
桡	橈
桢	楨
档	檔
桤	榿
桥	橋
桦	樺
桧	檜
桨	槳
桩	樁
梁	梁
梦	夢
梼	檮
梾	棶
检	檢
棂	欞
棱	棱
椁	槨
椟	櫝
椠	槧
椤	欏
椭	橢
楼	樓
楽	樂
榄	欖
榇	櫬
榈	櫚
榉	櫸
榘	矩
榨	榨
槚	檟
槛	檻
槟	檳
槠	櫧
横	橫
樯	檣
樱	櫻
橥	櫫
橱	櫥
橹	櫓
橼	櫞
檐	簷
檩	檁
檪	櫟
檫	察
欢	歡
欣	欣
欤	歟
欧	歐
欲	欲
歳	歲
歴	曆
歺	歲
歼	殲
殁	歿
殇	殤
残	殘
殒	殞
殓	殮
殚	殫
殡	殯
殱	殲
殴	毆
毁	毀
毂	轂
毕	畢
毙	斃
毡	氈
毵	毿
毶	鞠
氇	氌
气	氣
気	氣
氢	氫
氩	氬
氲	氳
氵	水
氽	汆
汇	匯
汉	漢
污	污
汤	湯
汹	洶
沟	溝
没	沒
沣	灃
沤	漚
沥	瀝
沦	淪
沧	滄
沨	渢
沩	溈
沪	滬
沵	濔
沾	沾
泄	洩
泛	泛
泞	濘
注	注
泪	淚
泶	澩
泷	瀧
泸	瀘
泺	濼
泻	瀉
泼	潑
泽	澤
泾	涇
洁	潔
洒	灑
洼	窪
浃	浹
浅	淺
浆	漿
浇	澆
浈	湞
浉	溮
浊	濁
测	測
浍	澮
济	濟
浏	瀏
浐	滻
浑	渾
浒	滸
浓	濃
浔	潯
浕	濜
浜	濱
涂	塗
涌	湧
涙	淚
涛	濤
涝	澇
涞	淶
涟	漣
涠	潿
涡	渦
涢	溳
涣	渙
涤	滌
润	潤
涧	澗
涨	漲
涩	澀
淀	澱
渊	淵
渌	淥
渍	漬
渎	瀆
渐	漸
渑	澠
渔	漁
渖	瀋
渗	滲
温	溫
游	游
湼	涅
湾	灣
湿	濕
溃	潰
溅	濺
溆	漵
溇	漊
溪	溪
滗	潷
滙	匯
滚	滾
滝	瀧
滞	滯
滟	灩
滠	灄
满	滿
滢	瀅
滤	濾
滥	濫
滦	灤
滨	濱
滩	灘
滪	澦
漑	溉
漓	漓
漤	灠
潆	瀠
潇	瀟
潋	瀲
潍	濰
潜	潛
潴	瀦
澄	澄
澜	瀾
濑	瀨
濒	瀕
灎	灩
灏	灝
灔	灩
灜	瀛
灧	灩
灬	火
灭	滅
灯	燈
灵	靈
灾	災
灿	燦
炀	煬
炉	爐
炖	燉
炜	煒
炝	熗
炫	炫
炮	炮
点	點
炼	煉
炽	熾
烁	爍
烂	爛
烃	烴
烛	燭
烟	煙
烦	煩
烧	燒
烨	燁
烩	燴
烫	燙
烬	燼
热	熱
焊	焊
焕	煥
焖	燜
焘	燾
焰	焰
煅	煆
煳	糊
煺	退
熏	熏
熔	熔
熘	溜
爱	愛
爲	為
爷	爺
牍	牘
牜	牛
牦	犛
牵	牽
牺	犧
犊	犢
犏	゛
犟	強
犭	犬
状	狀
犷	獷
犸	馬
犹	猶
狈	狽
狍	包
狝	獮
狞	獰
独	獨
狭	狹
狮	獅
狯	獪
狰	猙
狱	獄
狲	猻
猃	獫
猎	獵
猕	獼
猡	玀
猪	豬
猫	貓
猬	蝟
献	獻
獭	獺
玑	璣
玙	璵
玚	瑒
玛	瑪
玮	瑋
环	環
现	現
玱	瑲
玺	璽
珉	氏
珏	玨
珐	琺
珑	瓏
珰	璫
珱	瓔
珲	琿
球	球
琅	琅
琎	璡
琏	璉
琐	瑣
琼	瓊
瑶	瑤
瑷	璦
璎	瓔
瓒	瓚
瓮	甕
瓯	甌
瓶	瓶
産	產
电	電
画	畫
畅	暢
畲	畬
畳	疊
畴	疇
畵	畫
疃	畽
疎	疏
疒	⽧
疖	癤
疗	療
疟	瘧
疠	癘
疡	瘍
疬	癆
疮	瘡
疯	瘋
疱	皰
疴	痾
症	症
痈	癰
痉	痙
痒	癢
痖	啞
痨	癆
痩	瘦
痪	瘓
痫	癇
痬	瘍
痴	癡
痹	痺
瘅	癉
瘆	疹
瘗	瘞
瘘	瘺
瘪	癟
瘫	癱
瘾	癮
瘿	癭
癀	廣
癍	斑
癎	癇
癞	癩
癣	癬
癫	癲
癯	臒
発	發
皀	皂
皑	皚
皱	皺
皲	皸
盏	盞
盐	鹽
监	監
盖	蓋
